FrameID,Head_x,Head_y,Beak_x,Beak_y,Robot_x,Robot_y,Robot_visible
551,412.5721130371094,775.4656372070312,420.1938781738281,759.935791015625,879.9994506835938,879.9994506835938,y
554,413.1014404296875,773.269775390625,421.0615234375,760.95751953125,876.9431762695312,876.9431762695312,y
556,421.2884216308594,780.8629150390625,429.9702758789063,765.0369873046875,877.0274658203125,877.0274658203125,y
557,421.3545227050781,780.7520141601562,430.2595825195313,765.1421508789062,880.3787231445312,880.3787231445312,y
558,421.3678894042969,781.175537109375,430.3794555664063,765.5014038085938,880.2791137695312,880.2791137695312,y
559,423.76123046875,783.7021484375,431.9379577636719,767.5068359375,880.3317260742188,880.3317260742188,y
560,423.5921325683594,781.0518798828125,431.8948059082031,765.5693969726562,880.008544921875,880.008544921875,y
561,420.8850708007813,783.6715087890625,429.5849304199219,767.5217895507812,880.13818359375,880.13818359375,y
562,421.0295715332031,781.0928344726562,432.7498779296875,765.8887939453125,880.0540161132812,880.0540161132812,y
563,420.921875,784.0545654296875,429.5113220214844,767.8091430664062,879.9891967773438,879.9891967773438,y
564,423.4264221191406,784.21875,431.6531066894531,768.0401000976562,880.0664672851562,880.0664672851562,y
565,423.4049987792969,784.4478149414062,431.6112060546875,768.4452514648438,880.163330078125,880.163330078125,y
566,420.9556274414063,784.0911254882812,429.76165771484375,767.9381103515625,880.2821044921875,880.2821044921875,y
567,421.1541442871094,784.1922607421875,430.0628356933594,768.076904296875,880.2897338867188,880.2897338867188,y
568,423.5489196777344,784.2186889648438,432.0002746582031,768.015869140625,879.8811645507812,879.8811645507812,y
569,423.8358459472656,784.0407104492188,432.39556884765625,767.8588256835938,880.0126953125,880.0126953125,y
570,423.7214050292969,799.953857421875,438.6407470703125,811.7591552734375,880.1205444335938,880.1205444335938,y
571,424.7886962890625,803.760498046875,439.2915954589844,818.2172241210938,880.164306640625,880.164306640625,y
572,427.82562255859375,804.239990234375,442.8380126953125,816.5643310546875,880.1842651367188,880.1842651367188,y
573,424.932373046875,804.5061645507812,439.3189392089844,819.228515625,880.0870361328125,880.0870361328125,y
574,424.8346862792969,804.4163818359375,439.5581665039063,818.9027709960938,880.4279174804688,880.4279174804688,y
575,427.6370544433594,804.5242309570312,444.4207153320313,812.7825927734375,880.3677368164062,880.3677368164062,y
576,424.97406005859375,804.6126708984375,439.4021301269531,819.2553100585938,880.20751953125,880.20751953125,y
577,427.7615966796875,804.4840698242188,444.3402099609375,813.231689453125,876.917724609375,876.917724609375,y
578,427.5823059082031,804.6686401367188,442.5242309570313,816.83056640625,876.9304809570312,876.9304809570312,y
579,427.7066040039063,804.6162109375,442.6655883789063,817.0816650390625,876.7415771484375,876.7415771484375,y
580,427.7506408691406,804.3483276367188,444.6030883789063,809.2861938476562,879.7489013671875,879.7489013671875,y
581,427.791748046875,804.4151611328125,442.8860168457031,816.5827026367188,880.2217407226562,880.2217407226562,y
582,427.8773193359375,804.5023193359375,444.5042114257813,813.133056640625,879.8191528320312,879.8191528320312,y
583,427.807861328125,804.3623657226562,442.7677307128906,816.5231323242188,876.7255859375,876.7255859375,y
584,427.6954040527344,804.8421630859375,442.5799560546875,819.0797729492188,880.1029663085938,880.1029663085938,y
585,427.5656433105469,804.9823608398438,442.39166259765625,819.2775268554688,880.3367309570312,880.3367309570312,y
586,427.5607299804688,805.2306518554688,442.33441162109375,819.4036254882812,880.2425537109375,880.2425537109375,y
587,428.17962646484375,807.73974609375,440.9617614746094,824.0901489257812,880.407470703125,880.407470703125,y
588,432.2966918945313,807.862060546875,449.84326171875,808.2984008789062,880.4749145507812,880.4749145507812,y
589,428.9593811035156,808.4788208007812,446.3759765625,809.0462646484375,880.324462890625,880.324462890625,y
590,429.0524597167969,808.338134765625,446.3600463867188,812.6385498046875,879.8577880859375,879.8577880859375,y
591,431.8321533203125,808.241455078125,449.33209228515625,808.7232055664062,880.0348510742188,880.0348510742188,y
592,431.8541870117188,808.6121826171875,449.3506164550781,809.2366943359375,880.0425415039062,880.0425415039062,y
594,431.8059387207031,808.6771240234375,449.3370971679688,809.3023071289062,879.9381713867188,879.9381713867188,y
595,431.79443359375,808.7981567382812,449.3397521972656,809.1643676757812,871.886474609375,871.886474609375,y
596,428.5665588378906,808.7088012695312,445.7454833984375,812.939697265625,868.0244140625,868.0244140625,y
